sectperf,prof_pos,sex,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
GOV,OTH,T,HC,LU	: 	: 	331 	299 	282 	266 	186 	: 	157 	123 	112 	: 	111 	85 	56 	50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,OTH,T,HC,LV	: 	: 	: 	: 	277 	229 	233 	373 	393 	368 	674 	612 	610 	626 	579 	414 	457 	529 	482 	592 	693 	712 	862 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,OTH,T,HC,ME	: 	43 	54 	: 	45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,OTH,T,HC,MK	: 	: 	: 	120 	81 	220 	154 	145 	145 	137 	208 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,OTH,T,HC,MT	36 p	24 	21 	17 	18 	18 	24 	11 	5 	5 	12 	21 	19 	215 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,OTH,T,HC,NL	: 	: 	: 	: 	1939 d	2312 d	2212 d	2390 d	2267 d	2590 d	2392 d	2621 d	2945 bd	2679 	2628 	3161 	3564 	3974 	4010 	3856 	3727 	4140 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,OTH,T,HC,PL	: 	5076 	5057 	4547 	4587 	4251 	3820 	3828 	3548 	3997 	3632 	4498 	5026 	5821 	3887 	4408 	4663 	4584 	3895 	5492 	5668 	5635 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,OTH,T,HC,PT	: 	207 	218 b	297 	519 	501 	557 	729 	773 	774 e	774 	954 e	1133 	1451 e	1768 	2040 e	2312 	2184 	2056 	1930 e	1804 	1860 e	1786 e	1715 	1725 e	1735 	1696 e	1657 	1824 e	1990 	2206 e	2421 	2169 e	1917 	: 	: 
GOV,OTH,T,HC,RO	: 	3854 	4015 	3158 	3032 b	1469 	1309 	2182 	1233 	1110 	1108 	1371 	1324 	945 	1353 	1032 	1365 	1612 	2145 	3481 	2989 	3059 	3597 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,OTH,T,HC,RS	: 	1171 	1580 	1745 	1699 	1810 	1911 	1751 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,OTH,T,HC,RU	: 	103275 e	102007 e	106955 e	99219 e	103264 e	102851 e	104062 e	107541 e	110407 e	107878 e	100505 e	99109 e	99574 e	99765 e	101040 	102585 	98415 	103825 	104715 	108646 	114033 	87900 	88200 	99500 	107800 	112000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,OTH,T,HC,SE	: 	: 	: 	: 	1267 be	: 	661 e	: 	1477 be	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,OTH,T,HC,SI	: 	283 	293 	282 	302 b	422 	433 	430 	417 	390 	370 	294 	288 	293 	332 	359 	364 	721 	819 	751 	691 	757 	771 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,OTH,T,HC,SK	: 	493 d	410 d	544 d	621 d	639 d	479 d	546 d	521 d	516 d	599 d	491 d	574 d	647 d	637 d	692 	707 d	654 d	527 d	1202 d	1423 d	1583 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,OTH,T,HC,TR	: 	4974 	5126 	5321 	5141 	4766 	4906 	4723 	4549 	4697 	4647 	2716 	2704 	3557 	3538 	1796 	2163 	2233 	2811 	2627 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,OTH,T,HC,UK	: 	3718 	3932 	4242 	4500 	5004 	5079 	4978 	5021 	8080 	7826 	7583 	7558 	7722 	7979 b	: 	9423 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,AT	: 	: 	664 	: 	622 	: 	601 	: 	486 	465 	: 	331 	: 	319 	: 	: 	: 	289 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,BA	: 	21 	24 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,BE	: 	: 	1271 	1240 b	934 	876 	916 	864 	789 	731 	682 	656 	595 	576 	580 	559 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,BG	: 	2947 	3020 	2946 	3168 	3149 	3138 	3208 	3290 	3126 	3060 	3133 	3097 	3064 	2995 	3130 	3417 	3674 	3697 	3542 	3136 	3197 	5698 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,CY	: 	45 	42 	42 	45 	49 	48 	53 	48 	48 	48 	46 	43 	36 	35 	30 	27 	24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,CZ	: 	2390 	2334 	2129 	2272 	2214 	2316 	2581 	2575 	2413 	2210 b	1646 	1633 	1427 	1553 	1398 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,DE	: 	16881 b	18153 	17571 	16696 	15779 	14749 	13001 	12101 	11191 	10380 	11000 	9658 	9176 	8820 	8502 	8213 	: 	7913 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,DK	: 	662 	590 	524 	405 	406 	432 	: 	447 b	820 	765 	813 	780 	763 b	1303 d	1263 	1346 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,EE	322 	318 	328 	335 	326 	334 	309 	321 	326 	308 	284 	282 	277 	268 	272 	287 	313 	332 	334 	617 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,EL	: 	: 	2729 	: 	2073 b	: 	: 	: 	: 	: 	729 	: 	688 	: 	625 	: 	655 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,ES	: 	9261 	9772 	10220 	10775 	11588 	11592 	10880 	10122 	9500 	9833 	8147 	7169 	5658 	5710 	4837 	4678 	: 	3790 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,FR	: 	: 	10161 e	9557 e	9318 e	9146 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,HR	: 	999 d	1049 d	1053 d	1108 	1134 	1101 	1006 	974 	995 	990 	1188 	1127 	1043 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,HU	: 	1887 	1897 	1941 	2156 	2024 	1931 	1739 	1724 	1882 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,IE	: 	180 	165 	182 	195 	190 	180 	202 	189 	179 	149 	172 	161 	155 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,IS	: 	: 	: 	: 	168 b	: 	221 	189 	180 	202 	188 	: 	156 	: 	123 	: 	135 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,IT	9928 p	9819 	9919 	9372 	8574 	7694 	7214 	6693 	7462 	6723 	5639 	5635 	5323 	: 	: 	: 	: 	4703 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,JP	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3136 	2987 	2757 	2635 	2424 	2318 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	527 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,LT	: 	715 	707 	677 	682 	790 	930 	871 	869 	864 	928 	783 	858 	898 	1097 	1187 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,LU	: 	: 	279 	266 	262 	229 	208 	: 	180 	139 	105 	: 	85 	92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,LV	: 	372 	385 	397 	405 	357 	373 	429 	410 	339 	327 	267 	287 	303 	327 	352 	425 	446 	529 	655 	664 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,ME	: 	57 	52 	: 	57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,MK	: 	: 	: 	233 	139 	225 	210 	239 	237 	237 	239 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,MT	4 p	4 	6 	6 	10 	14 	15 	16 	6 	13 	8 	17 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,NL	: 	3059 d	3079 d	3372 bd	2200 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,PL	: 	5763 	5677 	5589 	5275 	5695 	5335 	4891 	5236 	5043 	4897 	4985 	5050 	: 	: 	5307 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,PT	: 	835 	801 b	1006 	1548 	1454 	1659 	1926 	1865 	1900 e	1935 	1974 e	2013 	2036 e	2058 	1958 e	1857 	: 	1572 	: 	1424 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,RO	: 	3162 	3225 	3008 	2720 b	2794 	2867 	3150 	2917 	2809 	3999 	3134 	2983 	2943 	2744 	2577 	2902 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,RS	: 	1680 	1788 	1690 	1610 	1452 	1486 	1460 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,SE	: 	: 	1017 be	: 	836 be	: 	517 e	: 	753 be	: 	1046 bde	: 	808 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,SI	: 	845 	859 	871 	854 b	900 	930 	903 	813 	721 	668 	441 	409 	634 	622 	640 	608 	590 	541 	622 	621 	595 	537 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,SK	: 	1514 d	1249 d	1363 d	1309 d	1348 d	1244 d	1307 d	1294 d	1092 d	1107 d	1020 d	1096 d	1105 d	1083 d	1140 	1072 	1082 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,TR	: 	1960 	1879 	1865 	1809 	1696 	1597 	1400 	1352 	1368 	1144 	1041 	991 	745 	687 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,FTE,UK	: 	2578 	2553 	2571 	2457 	2790 	2893 	2914 	2726 	2859 	3010 	2929 	2979 	2909 	2896 	3346 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,AT	: 	: 	1588 	: 	1467 	: 	1355 	: 	1094 	1095 	: 	839 	: 	820 	: 	: 	: 	730 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,BA	: 	24 	29 	15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,BE	: 	: 	1481 	1420 b	1077 	1029 	1056 	998 	820 	780 	789 	757 	657 	633 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,BG	: 	3023 	3079 	3026 	3233 	3191 	3249 	3323 	3417 	3308 	3263 	3291 	3235 	3188 	3146 	3301 	3716 	3978 	4112 	3912 	3449 	3673 	6388 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,CH	394 d	379 d	: 	326 d	: 	328 d	: 	337 d	: 	280 d	: 	245 d	: 	230 d	: 	150 bd	: 	190 	: 	240 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,CY	: 	98 	96 	98 	103 	99 	93 	99 	99 	99 	98 	88 	87 	72 	73 	56 	50 	48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,CZ	: 	3273 	3244 	3038 	3132 	2966 	3126 	3573 	3398 	3374 	3073 	2883 	2611 	2582 	2549 	2488 	2300 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,DE	: 	21389 b	23137 	22548 	21507 	20263 	18852 	16720 	15093 	14223 	12795 	13416 	11895 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,DK	: 	1159 	1038 	917 	749 	684 	714 	: 	703 b	1256 	1131 	1191 	1142 	1055 bd	2149 	2111 	2355 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,EA19	: 	82113 e	82824 	81669 e	77741 	74433 e	72383 e	68099 e	64122 e	62072 e	57562 e	54909 e	50316 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,EE	409 	446 	444 	448 	443 	455 	444 	455 	444 	443 	370 	371 	379 	363 	361 	349 	383 	393 	441 	721 	818 	945 	912 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,EL	: 	: 	4273 	: 	2931 b	: 	: 	: 	: 	: 	1190 	: 	1176 	: 	1105 	: 	1031 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,ES	: 	15094 	15115 	15599 	16021 	16314 	16618 	15677 	14080 	13019 	13135 	11026 	9548 	7686 	7706 	6628 	5951 	: 	4955 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,EU28	: 	109965 e	110400 	108131 e	104311 	100254 e	97146 e	93080 e	89189 e	87798 e	83780 e	80385 e	75711 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,FI	: 	2274 	2543 	2509 	2551 	2638 	2444 	2437 	2463 	2443 	2356 	2142 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,FR	: 	: 	10186 e	9928 e	9714 e	9564 be	10693 d	10141 d	9720 d	9094 d	9112 d	8710 d	8449 d	8325 bd	7858 de	8478 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,HR	: 	1352 d	1439 d	1490 d	1528 	1622 	1609 	1427 	1357 	1426 	1399 	1983 	1787 	1667 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,HU	: 	2688 	2403 	2377 	2565 	2505 	2391 	2198 	2304 	2367 	2371 	2284 b	2323 d	2189 d	1842 d	2008 	1708 d	1794 d	1480 d	1344 d	1560 d	1544 d	1472 d	1470 d	1774 d	1963 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,IE	: 	209 	195 	202 	214 	202 	206 	228 	209 	194 	162 	182 	204 	185 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,IS	97 	: 	61 b	: 	214 b	: 	576 	488 	467 	502 	446 	: 	430 	: 	206 	: 	306 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,IT	13336 p	13276 	12843 	11905 	10925 	10035 	9080 	9008 	9442 	10207 	7500 	7204 	6721 	6190 	6231 	7448 	6841 	6727 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,JP	: 	5741 	5564 	5533 	5409 	5552 	5269 	4946 	4928 	4791 	4600 	4492 	4233 	4138 	4068 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,KR	: 	6885 	6328 	5730 	5236 	4435 	3788 	2770 	2923 b	1975 d	1476 d	1459 d	1402 d	1356 d	1315 d	1320 d	1048 d	1000 d	1243 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,LT	: 	928 	871 	870 	880 	891 	955 	891 	908 	934 	997 	894 	874 	919 	1114 	1199 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,LU	: 	: 	308 	295 	286 	254 	230 	: 	199 	167 	132 	: 	104 	111 	97 	81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,LV	: 	513 	521 	557 	556 	453 	447 	529 	620 	569 	427 	331 	366 	408 	430 	419 	492 	520 	619 	741 	778 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,ME	: 	301 	309 	: 	281 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,MK	: 	: 	: 	273 	174 	342 	317 	395 	384 	390 	374 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,MT	10 p	7 	8 	10 	16 	21 	22 	23 	11 	21 	15 	12 	2 	17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,NL	: 	4153 d	4166 d	4695 bd	2719 d	2376 d	2353 d	2280 d	2425 d	2363 d	2299 d	2490 d	2138 bd	: 	1448 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,NO	: 	2853 	2880 	2783 	2729 	2581 	2511 d	2264 d	2188 d	: 	1699 d	: 	1540 d	: 	1414 d	: 	1300 d	: 	1287 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,PL	: 	6718 	6597 	6501 	6457 	6877 	6367 	5892 	6228 	6002 	5691 	5906 	6150 	: 	: 	5307 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,PT	: 	2645 	2431 b	2910 	3702 	3106 	2674 	2679 	2731 	2950 e	3168 	3039 e	2909 	2915 e	2921 	2924 e	2927 	2345 	1763 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,RO	: 	3313 	3332 	3145 	2833 b	2912 	2975 	3332 	3063 	2923 	4077 	3237 	3083 	2997 	2802 	2638 	2958 	3413 	3145 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,RS	: 	1699 	1808 	1713 	1636 	1465 	1507 	1480 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,RU	: 	58910 e	58483 e	60566 e	58029 e	59138 e	60122 e	59608 e	62916 e	62967 e	63154 e	60621 e	60533 e	59971 e	59891 e	58711 	59733 	59710 	63427 	66136 	69311 	67848 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,SE	: 	: 	3287 be	: 	3199 be	: 	862 e	: 	1149 be	: 	1758 bde	: 	1237 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,SI	: 	1041 	1048 	1042 	1031 b	1118 	1124 	1090 	945 	858 	795 	539 	507 	839 	832 	862 	849 	824 	770 	696 	714 	710 	643 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,SK	: 	1937 d	1569 d	1725 d	1598 d	1578 d	1461 d	1486 d	1460 d	1262 d	1215 d	1154 d	1286 d	1201 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,TR	: 	2206 	2147 	2222 	2166 	2063 	1939 	1688 	1656 	1606 	1481 	1355 	1284 	1047 	989 	976 	884 	861 	1003 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,F,HC,UK	: 	3171 	3218 	3118 	2874 	3339 	3471 	3444 	3451 	3149 	3456 	3289 	3227 	3128 	3146 b	: 	3387 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,T,FTE,AT	1641 ep	1612 e	1567 	1555 e	1511 	1568 e	1559 	1513 e	1389 	1349 	1232 e	1030 	: 	999 	: 	: 	: 	954 	: 	: 	: 	: 	904 be	: 	: 	: 	520 e	: 	: 	: 	518 e	: 	: 	: 	543 	: 
GOV,RSE,T,FTE,BA	: 	63 	87 	62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,T,FTE,BE	4611 p	3724 e	3657 	3591 b	2781 	2650 	2820 	2661 	2526 	2424 	2274 	2215 	2026 	1980 	1941 	1809 	1738 	1598 de	1555 d	1441 d	1209 d	1203 d	1182 bd	: 	785 de	: 	843 bd	688 d	691 d	693 d	686 de	680 d	662 de	645 d	632 de	: 
GOV,RSE,T,FTE,BG	4749 p	5038 	5305 	5339 	5776 	5757 	5805 	6038 	6178 	6148 	6076 	6168 	6113 	6067 	6082 	6417 	7060 	7501 	7425 	8007 	7198 	7243 	11757 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,T,FTE,CH	472 d	466 d	: 	430 d	: 	406 d	: 	488 d	: 	435 d	: 	425 d	: 	460 d	: 	405 bd	: 	441 	: 	555 d	: 	550 	: 	630 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	779 d	: 
GOV,RSE,T,FTE,CN_X_HK	: 	295899 	288675 	269581 	250250 	231699 	219483 b	238970 d	230662 d	210149 d	200377 d	190499 d	191957 d	189151 d	186589 d	193353 d	166800 d	162200 d	193100 d	179800 d	184900 d	194700 d	194000 d	208000 d	200700 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,T,FTE,CY	85 p	83 	86 	92 	97 	102 	100 	107 	105 	111 	107 	104 	109 	104 	95 	81 	82 	81 	: 	: 	: 	: 	: 	116 	105 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,T,FTE,CZ	7393 p	6590 	6326 	6066 	6235 	6244 	6270 	7084 	6915 	6800 	6323 b	4827 	4833 	4429 	4837 	4424 	4281 	4596 	4597 	4574 	4315 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GOV,RSE,T,FTE,DE	53300 ep	52854 b	56755 	55597 	54185 	51783 	49241 	45342 	43561 	41486 	39911 	42212 	38719 	39080 	38587 	37667 	37846 	38210 	37402 	37687 	37324 	35383 	34011 b	: 	38614 b	: 	24320 	: 	21857 	: 	20425 	: 	19800 	: 	18919 	: 
