sex,prof_pos,sectperf,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 
F,TOTAL,GOV,PC_ACT_HC,EU28	: 	0.1975 e	0.1959 	0.1949 e	0.1908 	0.1866 e	0.1841 e	0.1829 e	0.1791 e	0.1793 e	0.175 e	0.1742 e	0.1715 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,FI	: 	0.2727 	0.3003 	0.3055 	0.3347 	0.3389 	0.3123 	0.3186 	0.3512 	0.3654 	0.3754 	0.3776 	0.3788 	0.3856 	0.3539 	0.3549 	0.3662 	0.3734 	0.3526 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,FR	: 	: 	0.1641 e	0.164 e	0.1666 e	0.1662 be	0.1822 d	0.181 d	0.1779 d	0.1757 	0.1737 	0.1707 	0.1684 	0.1783 bd	0.1715 e	0.1755 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,HR	: 	0.2842 d	0.3067 d	0.3162 d	0.3202 	0.3161 	0.3151 	0.2826 	0.2945 	0.3126 	0.2994 	0.3648 	0.3382 	0.2991 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,HU	: 	0.2263 	0.2279 	0.2375 	0.2566 	0.259 	0.2617 	0.2582 	0.2662 	0.3007 	0.3082 	0.3077 b	0.3102 d	0.3257 d	0.2794 d	0.3063 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,IE	: 	0.0404 	0.0394 	0.0446 	0.0478 	0.0418 	0.0448 	0.0488 	0.0526 	0.0572 	0.0548 	0.0693 	0.0723 	0.0711 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,IS	0.154 	: 	0.1857 b	: 	0.4159 b	: 	1.0531 	0.9849 	0.9544 	1.0866 	1.0227 	: 	1.1466 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,IT	0.2346 p	0.2346 	0.2402 	0.2304 	0.2252 	0.2168 	0.2217 	0.2388 	0.2495 	0.2507 	0.2196 	0.2128 	0.2032 	0.188 	0.1854 	0.2004 	0.1843 	0.1781 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,JP	: 	: 	: 	: 	0.0805 	0.0757 	0.0757 	0.0716 	0.0731 	0.0736 	0.0714 	0.0703 	0.0697 	0.0665 	0.0634 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,KR	: 	: 	: 	: 	0.0985 	0.0882 	0.0775 	0.0529 	0.051 b	0.0363 d	0.0342 d	0.0377 d	0.0333 d	0.0308 d	0.0305 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,LT	: 	0.2231 	0.2153 	0.2063 	0.2113 	0.2173 	0.2365 	0.2406 	0.2442 	0.2434 	0.249 	0.2432 	0.2359 	0.2499 	0.3388 	0.3475 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,LU	: 	: 	0.558 	0.5427 	0.5913 	0.51 	0.4424 	: 	0.3745 	0.3344 	0.2953 	: 	0.2646 	0.2564 	0.2227 	0.189 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,LV	: 	0.1885 	0.1806 	0.1813 	0.1901 	0.1456 	0.1543 	0.1852 	0.2059 	0.2368 	0.2335 	0.1541 	0.1581 	0.1661 	0.164 	0.1585 	0.1746 	0.1837 	0.1967 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,MK	: 	: 	: 	0.1283 	0.0692 	0.1594 	0.1279 	0.151 	0.1486 	0.1533 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,MT	0.0227 p	0.0123 	0.0129 	0.0194 	0.0286 	0.04 	0.0448 	0.0474 	0.0241 	0.0529 	0.046 	0.0388 	0.016 	0.3531 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,NL	: 	0.1732 d	0.1745 d	0.1902 bd	0.1211 d	0.1102 d	0.105 d	0.1099 d	0.1237 d	0.1301 d	0.1196 d	0.1255 d	0.1137 bd	: 	0.1049 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,NO	: 	0.3698 	0.3683 	0.3644 	0.362 	0.3481 	0.3217 	0.3024 	0.3024 	: 	0.2579 	: 	0.2411 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,PL	: 	0.1676 	0.1662 	0.1631 	0.1627 	0.1622 	0.1378 	0.1344 	0.1385 	0.1428 	0.1344 	0.1489 	0.1623 	: 	: 	0.1429 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,PT	: 	0.1453 	0.1351 	0.1343 	0.1709 	0.1569 	0.1475 	0.1505 	0.1496 	0.1615 e	0.1735 	0.176 e	0.1769 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,RO	: 	0.1603 	0.1655 	0.1506 	0.1378 b	0.1187 	0.1114 	0.1383 	0.1137 	0.1068 	0.1367 	0.1248 	0.1211 	0.1046 	0.0933 	0.0843 	0.1014 	0.1225 	0.1053 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,SE	: 	: 	0.2131 e	: 	0.1848 be	: 	0.0737 e	: 	0.0872 de	: 	0.0983 be	: 	0.0829 	: 	0.0778 	: 	0.0713 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,SI	: 	0.3362 	0.3441 	0.3293 	0.3379 b	0.3811 	0.3764 	0.3712 	0.3441 	0.3167 	0.291 	0.2067 	0.2065 	0.3097 	0.3337 	0.3509 	0.3617 	0.363 	0.375 	0.344 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,SK	: 	0.2329 d	0.1922 d	0.2279 d	0.2206 d	0.2215 d	0.2038 d	0.2109 d	0.2099 d	0.1882 d	0.182 d	0.1724 d	0.2019 d	0.2021 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,TR	: 	0.0417 	0.0423 	0.0475 	0.0477 	0.0464 	0.0477 	0.046 	0.0481 	0.0477 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_ACT_HC,UK	: 	0.0444 	0.0457 	0.0474 	0.0456 	0.0529 	0.0553 	0.0557 	0.0573 	0.0596 	0.0639 	0.0651 	0.0658 	0.0679 	0.0701 b	: 	0.0792 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,AT	: 	: 	0.062 	: 	0.0626 	: 	0.0629 	: 	0.0577 	0.0575 	: 	0.0506 	: 	0.0504 	: 	: 	: 	0.0538 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,BE	: 	: 	0.11 	0.1094 b	0.0794 	0.0769 	0.0825 	0.0785 	0.0666 	0.0661 	0.066 	0.0651 	0.0703 	0.0701 	0.0716 	0.0675 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,BG	: 	0.371 	0.3822 	0.3927 	0.3909 	0.3895 	0.372 	0.3676 	0.3926 	0.4104 	0.4247 	0.4411 	0.4524 	0.4722 	0.466 	0.466 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,CY	: 	0.0626 	0.0631 	0.062 	0.0615 	0.071 	0.0717 	0.0829 	0.0872 	0.099 	0.1044 	0.1078 	0.1086 	0.1117 	0.105 	0.1077 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,CZ	: 	0.2591 	0.2592 	0.2535 	0.2514 	0.2439 	0.2497 	0.2506 	0.256 	0.2461 	0.2386 b	0.1627 	0.17 	0.1534 	0.1627 	0.1485 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,DE	: 	0.2224 d	0.2156 d	0.2112 d	0.2061 d	0.2033 d	0.1904 d	0.1831 d	0.1788 	0.1767 	0.1738 	0.1772 	0.1714 	0.1648 	0.1627 	0.161 	0.1599 	: 	0.1724 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,DK	: 	0.0685 	0.0613 	0.0589 	0.0467 	0.0443 	0.0463 	: 	0.0569 b	0.117 	0.1144 	0.1141 	0.1197 	0.1117 b	0.2171 	0.2204 	0.2387 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,EE	0.1716 	0.174 	0.186 	0.1732 	0.1739 	0.1771 	0.1568 	0.1531 	0.1578 	0.1447 	0.1485 	0.1789 	0.1836 	0.1832 	0.1711 	0.21 	0.2179 	0.2303 	0.2441 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,EL	: 	: 	0.3388 	: 	0.2503 b	: 	: 	: 	: 	: 	0.1115 	: 	0.132 	: 	0.1267 	: 	0.1209 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,ES	: 	0.2518 	0.2604 	0.2687 	0.2744 	0.2872 	0.2809 	0.2431 	0.2226 	0.2108 	0.2071 	0.1854 	0.1818 	0.167 	0.1733 	0.1594 	0.1732 	: 	0.163 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,FR	: 	: 	0.1731 e	0.1718 e	0.1714 e	0.1732 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,HR	: 	0.2655 d	0.2817 d	0.2826 d	0.2835 	0.2717 	0.2613 	0.2386 	0.2432 	0.2464 	0.2458 	0.2786 	0.2666 	0.2408 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,HU	: 	0.1807 	0.1934 	0.2123 	0.2383 	0.2299 	0.2335 	0.2219 	0.2105 	0.2172 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,IE	: 	0.0354 	0.0345 	0.0415 	0.0452 	0.0419 	0.042 	0.0442 	0.0496 	0.0519 	0.0533 	0.0605 	0.0569 	0.0572 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,IS	: 	: 	: 	: 	0.3442 b	: 	0.4512 	0.3806 	0.369 	0.4652 	0.4797 	: 	0.4173 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,IT	0.1965 p	0.1981 	0.2033 	0.1942 	0.1859 	0.1763 	0.17 	0.1666 	0.1788 	0.1769 	0.1596 	0.1596 	0.1613 	: 	: 	: 	: 	0.1607 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,JP	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0518 	0.0443 	0.0494 	0.0466 	0.0446 	0.0437 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.025 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,LT	: 	0.189 	0.1831 	0.1855 	0.1962 	0.23 	0.255 	0.2507 	0.2432 	0.2394 	0.2548 	0.2361 	0.2541 	0.2703 	0.374 	0.3875 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,LU	: 	: 	0.5207 	0.4945 	0.5094 	0.4658 	0.407 	: 	0.3429 	0.2945 	0.2546 	: 	0.2372 	0.2191 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,LV	: 	0.153 	0.1516 	0.1559 	0.1597 	0.1349 	0.1478 	0.1685 	0.159 	0.1519 	0.1697 	0.1377 	0.1395 	0.1426 	0.1438 	0.1589 	0.1764 	0.1876 	0.1976 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,MK	: 	: 	: 	0.1616 	0.0771 	0.1476 	0.1244 	0.1438 	0.1472 	0.1574 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,MT	0.0089 p	0.0082 	0.0096 	0.0124 	0.0207 	0.0286 	0.034 	0.0358 	0.014 	0.0341 	0.0326 	0.0614 	0.0104 	0.18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,NL	: 	0.1405 d	0.1382 d	0.15 bd	0.103 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1751 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,PT	: 	0.0578 	0.0564 	0.0639 	0.0927 	0.09 	0.1066 	0.12 	0.1167 	0.1178 e	0.1193 	0.125 e	0.1308 	0.1366 e	0.1435 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,RO	: 	0.1629 	0.1704 	0.1541 	0.1422 b	0.1229 	0.1155 	0.1392 	0.1152 	0.1105 	0.1445 	0.1311 	0.1271 	0.1122 	0.0984 	0.0893 	0.1074 	0.1299 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,SE	: 	: 	0.0698 e	: 	0.064 be	: 	0.0427 e	: 	0.0553 bde	: 	0.0625 be	: 	0.0493 	: 	0.0441 	: 	0.0558 	: 	0.0597 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,SI	: 	0.3143 	0.3255 	0.3113 	0.3148 b	0.3468 	0.3408 	0.3343 	0.322 	0.2967 	0.2728 	0.1852 	0.1845 	0.259 	0.2709 	0.2883 	0.2952 	0.2938 	0.2843 	0.3327 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,SK	: 	0.2132 d	0.1818 d	0.2174 d	0.2118 d	0.2242 d	0.2017 d	0.2114 d	0.2148 d	0.1946 d	0.1973 d	0.1882 d	0.2142 d	0.2226 d	0.2234 d	0.2403 	0.2337 	0.2337 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,TR	: 	0.0419 	0.0406 	0.043 	0.043 	0.0427 	0.045 	0.0415 	0.0425 	0.0444 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_FTE,UK	: 	0.0401 	0.0416 	0.0439 	0.0443 	0.0501 	0.0515 	0.051 	0.0506 	0.0594 	0.0579 	0.0603 	0.0625 	0.0626 	0.0666 b	0.0773 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,AT	: 	: 	0.1611 	: 	0.1622 	: 	0.1542 	: 	0.1404 	0.1434 	: 	0.1556 	: 	0.1657 	: 	: 	: 	0.1553 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,BE	: 	: 	0.1283 	0.1264 b	0.0965 	0.0948 	0.0998 	0.0953 	0.0656 	0.0661 	0.0781 	0.0774 	0.0763 	0.0763 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,BG	: 	0.3859 	0.3904 	0.4052 	0.4001 	0.4013 	0.3872 	0.3822 	0.4158 	0.4386 	0.4565 	0.4719 	0.4794 	0.4987 	0.4919 	0.4995 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,CH	0.0357 d	0.0349 d	: 	0.0294 d	: 	0.0295 d	: 	0.0284 d	: 	0.0278 d	: 	0.03 d	: 	0.0316 d	: 	0.0258 bd	: 	0.0292 	: 	0.0417 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,CY	: 	0.1574 	0.1555 	0.1547 	0.1602 	0.1607 	0.16 	0.181 	0.1867 	0.2039 	0.2128 	0.2097 	0.2119 	0.2387 	0.2061 	0.2016 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,CZ	: 	0.3326 	0.3363 	0.3312 	0.3314 	0.3235 	0.3324 	0.332 	0.3286 	0.3253 	0.3133 	0.3012 	0.2876 	0.2939 	0.299 	0.2997 	0.2902 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,DE	: 	0.2851 d	0.2767 d	0.2721 d	0.2657 d	0.2615 d	0.2444 d	0.2357 d	0.2298 	0.2268 	0.2172 	0.2202 	0.2127 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,DK	: 	0.1238 	0.1061 	0.1042 	0.0854 	0.0755 	0.0758 	: 	0.0914 b	0.184 	0.1777 	0.1745 	0.1839 	0.1708 b	0.3841 	0.3682 	0.4183 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,EA19	: 	0.2558 e	0.2543 	0.2517 e	0.2431 	0.2376 e	0.2364 e	0.2288 e	0.2229 e	0.2216 e	0.2147 e	0.213 e	0.2058 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,EE	0.2422 	0.2371 	0.2479 	0.2515 	0.2429 	0.2498 	0.237 	0.2252 	0.2205 	0.2201 	0.212 	0.2436 	0.2577 	0.2293 	0.2189 	0.248 	0.2591 	0.2721 	0.3035 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,EL	: 	: 	0.5304 	: 	0.3492 b	: 	: 	: 	: 	: 	0.1867 	: 	0.2256 	: 	0.2258 	: 	0.2022 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,ES	: 	0.3573 	0.3605 	0.3682 	0.3656 	0.3669 	0.3839 	0.3331 	0.3021 	0.2822 	0.2813 	0.2663 	0.2492 	0.2277 	0.2405 	0.2292 	0.2252 	: 	0.2174 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,EU28	: 	0.2204 e	0.2201 	0.218 e	0.2115 	0.2064 e	0.2022 e	0.1978 e	0.1945 e	0.1971 e	0.1939 e	0.1938 e	0.1904 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,FI	: 	0.2967 	0.3251 	0.3289 	0.3608 	0.3672 	0.3383 	0.3416 	0.3787 	0.3976 	0.411 	0.4147 	0.4159 	0.4243 	0.3917 	0.3971 	0.4104 	0.4243 	0.4071 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,FR	: 	: 	0.1831 e	0.1822 e	0.1846 e	0.184 be	0.2011 d	0.1967 d	0.1946 d	0.1945 	0.1927 	0.1894 	0.186 	0.1948 bd	0.1868 e	0.1933 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,HR	: 	0.3482 d	0.3699 d	0.3778 d	0.3724 	0.3617 	0.3539 	0.3161 	0.3334 	0.3605 	0.3498 	0.4335 	0.4036 	0.3602 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,HU	: 	0.246 	0.2537 	0.2658 	0.2886 	0.2903 	0.29 	0.2808 	0.2886 	0.3267 	0.333 	0.3277 b	0.3284 d	0.3445 d	0.2942 d	0.3246 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,IE	: 	0.0446 	0.0442 	0.0501 	0.0537 	0.0464 	0.0489 	0.0514 	0.055 	0.0598 	0.0571 	0.0722 	0.0757 	0.0741 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,IS	0.1595 	: 	0.195 b	: 	0.4429 b	: 	1.1224 	1.0102 	0.9792 	1.1156 	1.0507 	: 	1.1789 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,IT	0.2691 p	0.2725 	0.2767 	0.2615 	0.2492 	0.24 	0.2444 	0.2611 	0.2709 	0.275 	0.2443 	0.2379 	0.2301 	0.2144 	0.2133 	0.2346 	0.2189 	0.2132 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,JP	: 	: 	0.079 	0.0812 	0.0799 	0.0789 	0.0792 	0.0742 	0.0758 	0.0765 	0.0746 	0.0735 	0.0733 	0.0701 	0.0666 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,KR	: 	: 	0.1289 	0.1222 	0.1016 	0.0912 	0.0799 	0.0543 	0.0523 b	0.0374 d	0.0354 d	0.039 d	0.0344 d	0.0317 d	0.0316 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,LT	: 	0.2462 	0.241 	0.234 	0.2432 	0.2546 	0.2645 	0.2552 	0.2556 	0.2577 	0.2723 	0.2744 	0.269 	0.2875 	0.3978 	0.4049 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,TOTAL,GOV,PC_EMP_HC,LU	: 	: 	0.5952 	0.5796 	0.6278 	0.5368 	0.471 	: 	0.3955 	0.3583 	0.3136 	: 	0.275 	0.2667 	0.2288 	0.1944 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
