sex,prof_pos,sectperf,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 
F,RSE,BES,PC_ACT_FTE,LT	: 	0.1033 	0.0832 	0.0644 	0.0616 	0.0561 	0.0529 	0.0575 	0.0507 	0.0428 	0.0299 	0.0227 	0.0211 	0.0112 	0.0237 	0.0166 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,LU	: 	: 	0.0988 	: 	0.1631 	: 	0.1566 	: 	0.1851 	: 	0.2826 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,LV	: 	: 	0.0527 	0.054 	0.06 	0.0448 	0.0358 	0.049 	0.035 	0.0502 	0.0449 	0.0482 	0.0451 	0.0665 	0.0774 	0.0757 	0.0127 	0.0128 	0.0144 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,MK	: 	: 	: 	0.0253 	0.026 	0.0196 	0.018 	0.0152 	0.0132 	0.0125 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,MT	: 	0.1363 	0.1871 	0.2201 	0.173 	0.1192 	0.1181 	0.1079 	0.1056 	0.1078 	0.105 	0.0786 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,NL	: 	0.194 	0.202 	0.1712 b	0.135 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,PL	: 	0.0624 	0.0559 	0.0407 	0.0304 	0.0323 	0.0297 	0.0344 	0.0376 	0.0326 	0.0337 	0.0233 	0.0197 	: 	: 	0.0427 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,PT	: 	0.1306 	0.1202 b	0.1436 	0.1415 	0.119 	0.1186 	0.1201 	0.1004 	0.0727 e	0.0446 	0.0457 e	0.0465 	0.0392 e	0.0319 e	0.0271 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,RO	: 	0.0539 	0.0543 	0.049 	0.0354 b	0.0566 	0.0551 	0.0586 	0.0709 	0.074 	0.1055 	0.0894 	0.0998 	0.1074 	0.0994 	0.1118 	0.1394 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,SE	: 	: 	0.4092 b	: 	0.3138 	: 	0.3256 	: 	0.3139 b	: 	0.4114 d	: 	0.3256 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,SI	: 	0.2618 	0.2637 	0.2457 	0.2532 b	0.1702 	0.1586 	0.1491 b	0.137 	0.12 	0.1044 	0.0911 	0.0863 	0.1021 	0.0956 	0.0924 	0.1 	0.0901 	0.0863 	0.082 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,SK	: 	0.0395 	0.0394 	0.0423 	0.0378 	0.0322 	0.0303 	0.0314 	0.0358 	0.0525 	0.0536 	0.0503 	0.0508 	0.0567 	0.0536 	0.057 	0.0642 	0.0743 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_FTE,TR	: 	0.1165 	0.1164 	0.1047 	0.0924 	0.0842 	0.0765 	0.0702 	0.0648 	0.0486 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,AT	: 	: 	0.2948 	: 	0.2488 	: 	0.2271 	: 	0.1881 	0.1701 	: 	0.1479 	: 	0.1168 	: 	: 	: 	0.076 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
